                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.82616,                0.44349,                0.89468,                 1.1672,                 0.5795,                0.91016,                0.84699,                0.89781,                0.91266,                0.66551,                0.87264,                0.46001,                0.91555,                 1.1722,                0.53925,                0.92402,              0.0003367,              0.0003367,              0.0003367
                     70,                0.80346,                0.43341,                0.89078,                 1.1478,                0.58717,                0.90043,                0.83606,                0.88237,                0.91939,                0.64126,                0.90095,                0.45925,                0.92835,                 1.2119,                0.55835,                0.92371,              0.0003268,              0.0003268,              0.0003268
                     71,                0.81081,                0.43408,                0.89244,                 1.1623,                0.56947,                0.89916,                0.85919,                0.88715,                0.91363,                0.66543,                0.91762,                0.47295,                0.93348,                 1.2048,                 0.5506,                0.92426,              0.0003169,              0.0003169,              0.0003169
                     72,                0.80195,                0.43446,                0.88949,                  1.153,                0.56963,                0.90226,                0.85518,                0.89775,                0.92094,                0.66958,                0.89262,                 0.4824,                0.92423,                 1.1977,                0.54015,                0.93012,               0.000307,               0.000307,               0.000307
                     73,                0.80244,                 0.4336,                0.88983,                 1.1412,                0.56905,                0.90062,                0.89657,                 0.8469,                0.92257,                0.67232,                0.90702,                 0.4852,                0.93447,                 1.1973,                0.53935,                0.92769,              0.0002971,              0.0002971,              0.0002971
                     74,                0.80702,                0.43126,                0.88986,                 1.1581,                0.57603,                0.90299,                0.82962,                0.91362,                0.92317,                0.67596,                0.89691,                0.46955,                0.92346,                 1.1706,                0.50973,                0.92742,              0.0002872,              0.0002872,              0.0002872
                     75,                0.80308,                0.43022,                0.89088,                 1.1356,                0.56053,                0.90301,                0.90681,                0.83117,                0.91362,                 0.6655,                 0.8749,                 0.4632,                0.92242,                 1.1621,                0.53354,                0.92701,              0.0002773,              0.0002773,              0.0002773
                     76,                0.80306,                0.43111,                0.89375,                 1.1384,                0.56765,                 0.9078,                0.86305,                0.89582,                0.92407,                0.66407,                0.89812,                0.47834,                0.91976,                  1.199,                0.54006,                0.92321,              0.0002674,              0.0002674,              0.0002674
                     77,                0.78728,                0.42021,                0.89156,                 1.1343,                0.55638,                0.90505,                0.91295,                0.85588,                0.91288,                 0.6668,                0.88562,                0.46244,                0.92512,                 1.1827,                0.55851,                0.92503,              0.0002575,              0.0002575,              0.0002575
                     78,                0.78218,                0.42097,                0.88537,                   1.13,                 0.5496,                0.89745,                 0.8715,                 0.9007,                0.93095,                0.67649,                0.88629,                0.45879,                0.91988,                 1.1584,                0.52669,                0.92068,              0.0002476,              0.0002476,              0.0002476
                     79,                0.78451,                0.41804,                0.88628,                 1.1196,                0.55013,                0.89566,                0.90048,                0.88415,                0.93348,                0.68191,                0.88267,                0.45435,                0.92158,                 1.1671,                0.51979,                0.92919,              0.0002377,              0.0002377,              0.0002377
                     80,                0.77456,                0.41934,                0.88571,                 1.1086,                0.55352,                0.89552,                0.87571,                0.88893,                0.92408,                0.68335,                0.90251,                0.46411,                0.92603,                 1.1744,                0.52274,                0.92995,              0.0002278,              0.0002278,              0.0002278
                     81,                0.78413,                0.41191,                0.89197,                 1.1028,                0.52154,                0.90171,                0.86417,                 0.8591,                0.92484,                0.67621,                0.87945,                0.44838,                0.91819,                 1.1804,                0.53503,                0.92423,              0.0002179,              0.0002179,              0.0002179
                     82,                0.76976,                0.41012,                0.88462,                 1.1152,                  0.531,                 0.8965,                0.87278,                0.85402,                0.91758,                0.68092,                0.88456,                 0.4699,                0.92491,                 1.2008,                0.55918,                0.92869,               0.000208,               0.000208,               0.000208
                     83,                0.78521,                0.41818,                0.88963,                 1.1143,                0.54952,                0.90041,                0.87964,                 0.9199,                0.92888,                0.67571,                0.89889,                0.45335,                0.93062,                 1.2282,                0.53108,                0.93704,              0.0001981,              0.0001981,              0.0001981
                     84,                0.78286,                0.41471,                0.88642,                  1.117,                0.54692,                0.89759,                 0.8623,                0.92048,                0.91995,                0.66741,                0.89822,                0.47059,                0.93198,                 1.2129,                0.55686,                0.93724,              0.0001882,              0.0001882,              0.0001882
                     85,                0.76271,                0.40334,                0.88204,                 1.1048,                0.53169,                 0.8906,                0.87494,                0.90614,                 0.9207,                0.67761,                0.87748,                0.45587,                0.91788,                 1.1746,                0.55429,                0.92819,              0.0001783,              0.0001783,              0.0001783
                     86,                0.76207,                0.40233,                0.88223,                 1.0933,                0.52928,                0.89369,                0.86924,                0.90923,                0.91859,                0.67031,                0.89778,                0.45305,                0.92987,                 1.2088,                0.55016,                0.93418,              0.0001684,              0.0001684,              0.0001684
                     87,                0.76548,                0.40989,                0.88264,                 1.1091,                0.53376,                0.89281,                0.89145,                0.89434,                0.91761,                0.67598,                0.88999,                0.45897,                0.92391,                 1.2225,                0.54771,                0.94067,              0.0001585,              0.0001585,              0.0001585
                     88,                0.76047,                 0.4016,                0.87866,                 1.0854,                 0.5153,                0.89331,                0.85083,                0.91589,                0.92757,                0.67313,                0.89342,                0.44963,                0.92966,                 1.2121,                0.54224,                0.93229,              0.0001486,              0.0001486,              0.0001486
                     89,                0.75578,                 0.3978,                0.87626,                 1.0881,                 0.5258,                0.89076,                0.86762,                0.91976,                0.92479,                0.68305,                0.87239,                 0.4482,                0.91872,                 1.1852,                0.53301,                0.92537,              0.0001387,              0.0001387,              0.0001387
                     90,                0.76871,                0.40192,                0.88243,                  1.098,                0.52924,                0.89227,                0.87854,                0.91896,                0.92583,                0.68433,                0.88636,                0.45016,                0.92446,                 1.1852,                0.51793,                0.93118,              0.0001288,              0.0001288,              0.0001288
                     91,                0.76963,                0.38756,                0.88599,                 1.1077,                0.51084,                0.89428,                0.85394,                0.89354,                  0.931,                  0.685,                 0.8843,                0.44161,                0.92162,                 1.1912,                0.50836,                 0.9302,              0.0001189,              0.0001189,              0.0001189
                     92,                 0.7633,                0.38358,                0.88157,                 1.0867,                0.48949,                0.88628,                0.88344,                0.91824,                0.94057,                0.68356,                0.87888,                0.45173,                0.92036,                 1.1888,                0.51062,                0.93155,               0.000109,               0.000109,               0.000109
                     93,                0.76465,                0.38098,                0.88271,                 1.0886,                0.49854,                0.88736,                0.87104,                0.90402,                0.93195,                0.69313,                0.88361,                0.44522,                0.92329,                 1.1782,                0.53466,                0.92613,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.76249,                  0.376,                0.88044,                 1.0841,                0.49329,                0.88737,                0.90756,                0.90266,                0.93017,                0.68049,                0.88916,                0.45061,                 0.9346,                 1.2015,                0.50862,                0.93409,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.76006,                0.37972,                0.88208,                 1.0783,                0.48496,                0.88939,                0.89488,                0.90586,                0.92598,                0.67797,                0.89158,                0.45226,                0.93266,                 1.1961,                0.53268,                0.93327,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.75746,                 0.3723,                0.87822,                  1.077,                 0.4858,                0.88569,                0.89029,                0.90904,                0.93157,                0.68021,                0.89954,                0.45016,                0.93051,                 1.2083,                0.52717,                0.93996,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.74866,                0.36777,                0.87652,                 1.0705,                0.48472,                0.87846,                0.90396,                0.90685,                0.93135,                0.67863,                0.90496,                0.44989,                0.92986,                 1.2169,                0.52549,                0.93677,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                  0.756,                0.36936,                 0.8824,                 1.0802,                0.47649,                0.88305,                 0.8871,                 0.9056,                0.92203,                0.66918,                0.90876,                0.44753,                0.93615,                  1.226,                0.51238,                0.94003,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.74686,                0.36341,                0.87593,                 1.0739,                 0.4858,                0.88273,                0.90467,                 0.9139,                 0.9272,                0.67339,                0.90178,                 0.4453,                0.93069,                 1.2232,                0.51764,                0.93763,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.74319,                0.36552,                 0.8769,                 1.0625,                0.48718,                0.87819,                0.91207,                0.90605,                0.93187,                0.67997,                0.90651,                 0.4433,                0.93367,                 1.2091,                0.49643,                0.93759,               2.98e-05,               2.98e-05,               2.98e-05
